
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server
  2026-03-15 09:01:28 /journal ................................... ~ 500.58ms
  2026-03-15 09:01:28 /build/assets/app-Ca1feuR5.css ............... ~ 0.10ms
  2026-03-15 09:01:28 /build/assets/framer-DitmWPeu.js ............. ~ 0.09ms
  2026-03-15 09:01:28 /build/assets/app-BrW2xfGe.js ................ ~ 0.70ms
  2026-03-15 09:01:28 /build/assets/lucide-B1Dx2dKo.js ............. ~ 1.29ms
  2026-03-15 09:01:28 /build/assets/radix-DqnUYAzE.js .............. ~ 1.83ms
  2026-03-15 09:01:28 /build/assets/app-DFBjH7U3.js ................ ~ 2.31ms
  2026-03-15 09:01:28 /build/assets/index-Bc5v-CcU.js .............. ~ 0.10ms
  2026-03-15 09:01:28 /build/assets/card-DP112bBj.js ............... ~ 0.49ms
  2026-03-15 09:01:28 /build/assets/index-C-PGTpN_.css ............. ~ 1.10ms
  2026-03-15 09:01:28 /build/assets/index-bAIvUhyU.js .............. ~ 1.50ms
  2026-03-15 09:01:28 /build/assets/recharts-BLLg2GQm.js ........... ~ 2.01ms
  2026-03-15 09:01:28 /build/assets/button-z8UG-w0p.js ............. ~ 2.40ms
  2026-03-15 09:01:28 /build/assets/app-Ca1feuR5.css ............... ~ 0.51ms
  2026-03-15 09:01:28 /build/assets/dashboard-top-nav-VDsTfNxq.js .. ~ 0.61ms
  2026-03-15 09:01:28 /build/assets/index-ChrTXibf.js .............. ~ 0.74ms
  2026-03-15 09:01:28 /build/assets/app-logo-icon-CrCEeYAD.js ...... ~ 0.69ms
  2026-03-15 09:01:28 /build/assets/index-BJEhERTH.js .............. ~ 0.90ms
  2026-03-15 09:01:28 /build/assets/index-ikzcNs2d.js .............. ~ 1.30ms
  2026-03-15 09:01:28 /api/journals ................................ ~ 0.04ms
  2026-03-15 09:01:28 /api/journals ................................ ~ 0.05ms
